id,hebrew,new_text,note
"HowToPlayModal.0639af","ערפל קרב: כל הכלים מוסתרים מהצד האחר. אף אחד לא יודע מה מסתתר מולו עד שמתנגשים חזיתית בקרב.","",""
"HowToPlayModal.0df419","פוליטיקאים:","",""
"HowToPlayModal.30a54f","תיקו בקרב: יש לכם רק 10 שניות לבחור נשק חדש ולשבור את השוויון.","",""
"HowToPlayModal.ef50a7","תנועה וקרב: צעד אחד לכל כיוון; דריכה על יריב יוזמת קרב. לא ניתן להזיז את המלך והמלכודת.","",""
"SetupScreen.a7c3e8","{0} שלב סידור הלוח","",""
"SetupScreen.0ca9a9","⚠️ הלו, צריך לבחור מתוך האנשים שלך כאן למטה ולא מהצד השני","",""
"SetupScreen.8ab887","👑 בחרו את המלך","",""
"SetupScreen.8290d7","🪤 בחרו את המלכודת","",""
"SetupScreen.599191","ברגע שהצד השני יסיים להתארגן נתחיל","",""
"SetupScreen.1d6882","להתחיל לשחק","",""
"SetupScreen.d9b2b8","עכשיו, מחכים לצד השני...","",""
"SetupScreen.651c54","ערבוב כלי נשק","",""
"SetupScreen.7e7ab0","שני הצדדים מוכנים, המשחק מתחיל...","",""
"SoundToggle.d124ea","הפעלת צלילים","",""
"SoundToggle.2979e2","השתקת צלילים","",""
"SoundToggle.ce8881","לחצו להפעלת סאונד! (מומלץ!)","",""
"SplashScreen.32fb9b","טוען...","",""
"SplashScreen.50317d","יאללה כבר!","",""
"TieBreakPanel.7d7f07","בחרו יד לקרב ההכרעה","",""
"TieBreakPanel.ec8d6f","נעלת ${pickedLabel}, ממתין לצד השני","",""
"TieBreakPanel.0c897e","קרב מספר {0}","",""
"TieBreakPanel.d3cd14","תיקו, בחרו נשק לקרב חוזר","",""
"characterAssets.a49277","חייל","","Tooltip / screen reader only (img title + alt), not visible text"
"characterAssets.557e36","מלכודת","","Tooltip / screen reader only (img title + alt), not visible text"
"errorMessages.0fcefe","המשחק כבר מלא","",""
"errorMessages.739664","המשחק לא נמצא — ייתכן שהסתיים","",""
"errorMessages.ac55c1","לא הצלחנו לחבר אתכם חזרה למשחק","",""
"errorMessages.c882f3","משהו השתבש — נסו שוב","",""
"errorMessages.e3bbe4","קוד משחק לא תקין","",""
"errorMessages.0b7d87","שגיאת שרת — נסו שוב","",""
"teases.59838e","אבן זה אח","",""
"teases.544e1a","אבן חזקה - ישראל חזקה","",""
"teases.754bf8","אבן! חזק מול כל השמאל","",""
"teases.141bbc","אבניהו - עושים שלום בטוח","",""
"teases.c65b01","אבנים נמאסתם!","",""
"teases.1461cb","אבנים? מספריים? יהודים! אחים! לוחמים!","",""
"teases.aea3e4","אין לי אבן אחרת!","",""
"teases.864d45","אין מספריים, אין פיגועים","",""
"teases.f429d2","אל תתנו להם אבנים!","",""
"teases.75ed37","אתה גזור, אתה אשם","",""
"teases.34ff9b","ביחד נקנח!","",""
"teases.e3f4cd","דור שלם דורש נייר","",""
"teases.c9e788","השמאל שכח מה זה להיות נייר","",""
"teases.a2dd33","חייבים ממשלה עם מספריים","",""
"teases.5696fb","ימין חזק, אבן חזקה","",""
"teases.fb141f","ישראל חזקה עם נייר","",""
"teases.42bc05","לא שמאל. לא ימין. נייר!","",""
"teases.c30a2a","מה אתה גזור?","",""
"teases.a0bd0d","מספריים הם חלק מגוש השמאל","",""
"teases.9f62b8","נ ני ניי נייר מאומן","",""
"teases.3b23ca","נייר, אתה חסר","",""
"teases.17f85c","עוטפים את המדינה בנייר","",""
"teases.12ef6a","פרס יחלק את מספריים","",""
"teases.b88a8d","צריך לגזור את חווארה","",""
"teases.e26a85","רק אבן!","",""
"teases.83e8e4","רק לא אבן!","",""
"teases.ef2da6","שמאל חלש? נייר חלש!","",""
"teases.3fbf38","תנו לאבן לכסח","",""
"theme.29f7e3","האופוזיציה","",""
"theme.a412e4","הקואליציה","",""
"characters.c0e65a","מלך","","Tooltip / screen reader only (img title + alt), not visible text"
